
*******************
Plotting of evolutionary algorithm with settings: 
*******************

1: Number of battles per war: 5
2: Number of soldiers per war: 40
3: Reployment fraction: 0
4: Strength reduction fraction: 0

5: Size of child pool: 30
6: Size of adult pool: 30
7: number of generations: 200
8: mutation rate: 1
9: crossover rate: 0.9
10: selection protocol: Full generational replacement
11: selection strategy: Sigma scaling
12: elitism: 2

*******************
0.25 0.275 0.225 0.075 0.175   
0.35 0.3 0.025 0.05 0.275   
0.175 0.375 0.125 0.175 0.15   
0.2 0.35 0.175 0.15 0.125   
0.2 0.225 0.225 0.125 0.225   
0.2 0.225 0.225 0.125 0.225   
0.2 0.225 0.225 0.125 0.225   
0.2 0.225 0.225 0.125 0.225   
0.3 0.275 0.075 0.125 0.225   
0.3 0.275 0.075 0.125 0.225   
0.25 0.3 0.125 0.125 0.2   
0.25 0.3 0.125 0.125 0.2   
0.25 0.325 0.175 0.125 0.125   
0.275 0.25 0.225 0.15 0.1   
0.275 0.25 0.225 0.15 0.1   
0.2 0.35 0.175 0.15 0.125   
0.2 0.35 0.175 0.15 0.125   
0.2 0.35 0.175 0.15 0.125   
0.2 0.35 0.175 0.15 0.125   
0.3 0.3 0.2 0.075 0.125   
0.3 0.3 0.2 0.075 0.125   
0.3 0.275 0.2 0.1 0.125   
0.275 0.25 0.2 0.15 0.125   
0.275 0.25 0.2 0.15 0.125   
0.3 0.275 0.225 0.125 0.075   
0.3 0.25 0.225 0.15 0.075   
0.25 0.3 0.225 0.15 0.075   
0.3 0.275 0.225 0.1 0.1   
0.25 0.3 0.225 0.125 0.1   
0.3 0.3 0.225 0.075 0.1   
0.3 0.275 0.225 0.075 0.125   
0.3 0.275 0.225 0.075 0.125   
0.325 0.275 0.225 0.075 0.1   
0.325 0.275 0.225 0.1 0.075   
0.275 0.275 0.225 0.1 0.125   
0.275 0.275 0.225 0.1 0.125   
0.275 0.275 0.225 0.1 0.125   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.3 0.275 0.225 0.1 0.1   
0.325 0.275 0.225 0.1 0.075   
0.3 0.275 0.225 0.1 0.1   
0.3 0.275 0.225 0.1 0.1   
0.3 0.275 0.225 0.1 0.1   
0.3 0.275 0.225 0.1 0.1   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.3 0.275 0.225 0.1 0.1   
0.3 0.275 0.225 0.1 0.1   
0.3 0.275 0.225 0.1 0.1   
0.275 0.275 0.225 0.1 0.125   
0.3 0.275 0.225 0.1 0.1   
0.3 0.275 0.225 0.1 0.1   
0.3 0.275 0.225 0.1 0.1   
0.3 0.275 0.225 0.1 0.1   
0.275 0.275 0.225 0.1 0.125   
0.3 0.275 0.225 0.1 0.1   
0.3 0.275 0.225 0.1 0.1   
0.275 0.275 0.225 0.1 0.125   
0.3 0.275 0.225 0.1 0.1   
0.275 0.275 0.225 0.1 0.125   
0.3 0.275 0.225 0.1 0.1   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.3 0.275 0.225 0.1 0.1   
0.3 0.275 0.225 0.1 0.1   
0.3 0.275 0.225 0.1 0.1   
0.3 0.275 0.225 0.1 0.1   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.3 0.275 0.225 0.1 0.1   
0.325 0.275 0.225 0.1 0.075   
0.3 0.275 0.225 0.1 0.1   
0.3 0.275 0.225 0.1 0.1   
0.3 0.275 0.225 0.1 0.1   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.3 0.275 0.225 0.1 0.1   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.3 0.275 0.225 0.1 0.1   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.3 0.275 0.225 0.1 0.1   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
0.325 0.275 0.225 0.1 0.075   
